API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
321692780,2264,321695044,17699506,339394550,8863,17710633,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321695495,2334,321697829,17705840,339403669,298459,18006633,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321698250,2575,321700825,18001559,339702384,8992,18013126,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321701275,2295,321703570,18008062,339711632,298587,18308944,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321704021,2304,321706325,18304118,340010443,8960,18315382,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321706776,2464,321709240,18310387,340019627,302459,18615310,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321709701,2184,321711885,18610425,340322310,8992,18621601,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321712336,2325,321714661,18616865,340331526,293819,18913009,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321715232,2094,321717326,18908275,340625601,8928,18919297,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321717816,2094,321719910,18914843,340634753,295419,19212356,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321720341,2445,321722786,19207642,340930428,8992,19219079,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321730861,10700,321741561,19202083,340943644,4159,19216942,570413,570413,0,cudaLaunchKernel,  22  128    1, 128    1    1,"void gem16::internal::<unnamed>::ReduceAssignmentsKernel<float>(const T1 *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned int, unsigned long)"
321743915,9027,321752942,19198541,340951483,544,19208112,570413,570413,0,cudaLaunchKernel,   1    1    1,   1    1    1,"gem16::internal::<unnamed>::RestoreTrellis35PrefillHistogramZeroKernel(unsigned int *, const unsigned int *)"
